geo_code1,geo_code2,all,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02002417,E02002349,1.243528,0,0,0.095656,0.191312,0,0,0.860904,0,0,0,0.095656,14700.147361,0,0,0.692308
E02002417,E02002350,1.052216,0,0,0.095656,0,0,0,0.860904,0,0,0.095656,0,21509.87112,0.090909,0,0.818182
E02002417,E02002351,0.860904,0,0,0,0,0,0.095656,0.669592,0.095656,0,0,0,11927.468381,0,0,0.777778
E02002417,E02002352,0.860904,0,0,0,0.095656,0,0,0.765248,0,0,0,0,15470.989164,0,0,0.888889
E02002432,E02002353,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,14807.380752,0,0,1
E02002417,E02002354,0.573936,0,0,0,0,0,0,0.573936,0,0,0,0,16028.485172,0,0,1
E02002417,E02002356,1.530497,0,0,0,0.191312,0,0,1.243528,0,0.095656,0,0,21279.303209,0,0.0625,0.8125
E02002417,E02002357,0.765248,0,0,0,0.191312,0,0,0.573936,0,0,0,0,20354.309372,0,0,0.75
E02002417,E02002358,3.921897,0,0,0.191312,0,0,0,3.539273,0.191312,0,0,0,11823.294451,0,0,0.902439
E02002417,E02002359,4.687146,0,0,0.095656,0.095656,0,0,3.156649,0.191312,0.191312,0.95656,0,9675.2691,0.204082,0.040816,0.673469
E02002417,E02002360,0.47828,0,0,0,0.286968,0,0,0.191312,0,0,0,0,16491.691939,0,0,0.4
E02002417,E02002361,0.95656,0,0,0,0,0,0,0.860904,0.095656,0,0,0,13825.319901,0,0,0.9
E02002417,E02002362,0.765248,0,0,0,0,0,0,0.669592,0.095656,0,0,0,18937.594366,0,0,0.875
E02002417,E02002363,2.200089,0,0,0,0,0,0.095656,1.913121,0.191312,0,0,0,14739.326783,0,0,0.869565
E02002417,E02002364,4.017553,0,0,0,0.191312,0.095656,0,3.730585,0,0,0,0,11325.1075,0,0,0.928571
E02002417,E02002366,0.573936,0,0,0,0,0,0,0.47828,0,0,0.095656,0,12619.551325,0.166667,0,0.833333
E02002417,E02002367,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,15263.6482,0,0,1
E02002417,E02002368,0.47828,0,0,0,0.095656,0,0,0.382624,0,0,0,0,22820.240899,0,0,0.8
E02002417,E02002369,0.382624,0,0,0,0,0,0,0.382624,0,0,0,0,11601.023136,0,0,1
E02002417,E02002370,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,10020.514397,0,0,1
E02002417,E02002371,2.200089,0,0,0,0.095656,0,0,2.008777,0,0,0.095656,0,13743.050544,0.043478,0,0.913043
E02002432,E02002373,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,16707.497975,0,0,1
E02002417,E02002374,0.669592,0,0,0,0.191312,0,0,0.47828,0,0,0,0,17341.144839,0,0,0.714286
E02002432,E02002375,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,18819.997286,0,0,1
E02002417,E02002376,0.286968,0,0,0,0.095656,0,0,0.191312,0,0,0,0,12100.671286,0,0,0.666667
E02002432,E02002377,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,13023.505112,0,0,1
E02002417,E02002379,2.965337,0,0,0,0,0,0,2.487057,0.286968,0.191312,0,0,10250.227876,0,0.064516,0.83871
E02002432,E02002380,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,19899.091289,0,0,1
E02002417,E02002381,0.47828,0,0,0,0,0,0,0.382624,0,0,0.095656,0,20855.365938,0.2,0,0.8
E02002417,E02002382,0.47828,0,0,0,0,0,0,0.382624,0.095656,0,0,0,12350.589153,0,0,0.8
E02002417,E02002383,0.47828,0,0,0,0.095656,0,0,0.095656,0.191312,0,0.095656,0,15648.920319,0.2,0,0.2
E02002417,E02002384,3.539273,0,0,0,0.573936,0,0.095656,2.774025,0.095656,0,0,0,14121.371579,0,0,0.783784
E02002417,E02002385,1.147872,0,0,0,0.095656,0,0,0.95656,0.095656,0,0,0,16195.363161,0,0,0.833333
E02002417,E02002386,6.982891,0,0,0.765248,0.382624,0,0,5.261082,0.47828,0.095656,0,0,8895.685737,0,0.013699,0.753425
E02002417,E02002387,0.860904,0,0,0,0.095656,0,0.095656,0.47828,0,0,0.191312,0,19287.526638,0.222222,0,0.555556
E02002417,E02002388,0.573936,0,0,0,0,0,0,0.573936,0,0,0,0,18180.372752,0,0,1
E02002417,E02002389,0.47828,0,0,0,0,0,0,0.382624,0.095656,0,0,0,11077.867968,0,0,0.8
E02002417,E02002390,3.539273,0,0,0.191312,0.47828,0,0,2.678369,0.191312,0,0,0,9656.298639,0,0,0.756757
E02002417,E02002391,1.626153,0,0,0,0,0,0.095656,1.530497,0,0,0,0,21568.032638,0,0,0.941176
E02002417,E02002392,6.50461,0,0,1.052216,0.860904,0,0.095656,3.826241,0.286968,0.286968,0.095656,0,14720.909395,0.014706,0.044118,0.588235
E02002417,E02002393,9.278635,0,0,0.47828,1.626153,0,0,6.982891,0.095656,0.095656,0,0,12553.727039,0,0.010309,0.752577
E02002417,E02002394,1.626153,0,0,0,0.191312,0,0,1.147872,0.095656,0,0.191312,0,11725.089009,0.117647,0,0.705882
E02002417,E02002395,1.147872,0,0,0.095656,0.095656,0,0,0.860904,0.095656,0,0,0,22643.171063,0,0,0.75
E02002417,E02002396,1.434841,0,0,0,0.286968,0,0,0.95656,0.191312,0,0,0,17403.425578,0,0,0.666667
E02002432,E02002397,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,19797.046134,0,0,1
E02002417,E02002398,2.008777,0,0,0,0.191312,0,0,1.626153,0.191312,0,0,0,8808.076996,0,0,0.809524
E02002417,E02002399,6.50461,0,0,0,0.095656,0,0.382624,5.452394,0.47828,0.095656,0,0,10902.782465,0,0.014706,0.838235
E02002417,E02002400,7.748139,0,0,0.382624,0.860904,0.095656,0,5.930674,0.286968,0.095656,0.095656,0,15692.822074,0.012346,0.012346,0.765432
E02002417,E02002401,0.286968,0,0,0.095656,0,0,0,0.095656,0.095656,0,0,0,9630.795349,0,0,0.333333
E02002417,E02002402,11.57438,0,0,0,1.626153,0,0,8.417731,1.339184,0,0.191312,0,7707.321309,0.016529,0,0.727273
E02002417,E02002403,16.357182,0,0.095656,1.052216,1.721809,0.095656,0.191312,10.713476,2.008777,0,0.47828,0,5589.795909,0.02924,0,0.654971
E02002417,E02002404,3.539273,0,0,0.191312,0.860904,0,0.095656,2.200089,0.191312,0,0,0,11810.674227,0,0,0.621622
E02002417,E02002405,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,21493.507756,0,0,1
E02002417,E02002406,4.017553,0,0,0.286968,0.095656,0.095656,0,2.200089,0.669592,0.095656,0.47828,0.095656,5060.504021,0.119048,0.02381,0.547619
E02002417,E02002407,0.860904,0,0,0.095656,0,0,0,0.765248,0,0,0,0,17134.264736,0,0,0.888889
E02002417,E02002408,0.669592,0,0,0.095656,0,0,0,0.573936,0,0,0,0,20203.560176,0,0,0.857143
E02002417,E02002409,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,18110.188924,0,0,1
E02002417,E02002410,1.721809,0,0,0,0.095656,0,0,1.530497,0.095656,0,0,0,15769.503896,0,0,0.888889
E02002417,E02002411,6.982891,0,0,0.382624,0.573936,0,0,5.452394,0.47828,0,0.095656,0,13749.490295,0.013699,0,0.780822
E02002417,E02002412,1.530497,0,0,0,0.191312,0,0,1.243528,0,0,0.095656,0,16304.913036,0.0625,0,0.8125
E02002417,E02002414,6.791578,0,0,0.095656,0.191312,0,0.191312,5.930674,0.286968,0.095656,0,0,12906.807252,0,0.014085,0.873239
E02002417,E02002415,0.860904,0,0,0,0,0,0,0.669592,0,0.095656,0.095656,0,12842.29108,0.111111,0.111111,0.777778
E02002417,E02002416,14.635373,0,0.095656,0.191312,1.434841,0,0.191312,9.852572,1.817465,0.095656,0.95656,0,4437.96754,0.065359,0.006536,0.673203
E02002417,E02002417,11.861348,0,0,0,0.286968,0,0,7.748139,0.669592,0.191312,2.965337,0,2596.222328,0.25,0.016129,0.653226
E02002417,E02002418,9.182979,0,0,0,0.669592,0,0,4.208866,0.95656,0.191312,3.060993,0.095656,2891.701722,0.333333,0.020833,0.458333
E02002417,E02002419,4.400178,0,0,0.095656,0.095656,0,0,3.347961,0.765248,0,0.095656,0,14154.704673,0.021739,0,0.76087
E02002417,E02002420,3.634929,0,0,0,0.191312,0,0,3.252305,0.191312,0,0,0,13264.372894,0,0,0.894737
E02002417,E02002421,0.47828,0,0,0,0,0,0,0.382624,0,0,0.095656,0,11348.690673,0.2,0,0.8
E02002417,E02002422,3.156649,0,0,0.095656,0.382624,0,0.095656,2.295745,0.286968,0,0,0,15335.687859,0,0,0.727273
E02002417,E02002423,0.382624,0,0,0,0,0,0,0.286968,0.095656,0,0,0,10803.607626,0,0,0.75
E02002417,E02002424,2.391401,0,0,0.095656,0.095656,0,0,2.008777,0.191312,0,0,0,16429.436618,0,0,0.84
E02002417,E02002425,0.382624,0,0,0,0,0,0,0.286968,0.095656,0,0,0,19288.493864,0,0,0.75
